function_name,time
get_training_data,4.546875
start_training,35.5625
quality_check_wrapper,12.46875
generate_learning_sets,0.078125
buildfromscratch,0.5
get_training_data,13.03125
start_training,70.59375
quality_check_wrapper,13.28125
generate_learning_sets,0.03125
buildfromscratch,0.5
get_training_data,51.71875
start_training,146.953125
quality_check_wrapper,13.59375
generate_learning_sets,0.046875
buildfromscratch,0.515625
get_training_data,89.015625
start_training,204.3125
quality_check_wrapper,13.453125
generate_learning_sets,0.140625
buildfromscratch,0.765625
get_training_data,159.53125
start_training,266.953125
quality_check_wrapper,13.84375
generate_learning_sets,0.09375
buildfromscratch,0.484375
get_training_data,236.703125
start_training,337.265625
quality_check_wrapper,14.203125
generate_learning_sets,0.09375
buildfromscratch,0.625
get_training_data,9.203125
start_training,81.421875
quality_check_wrapper,37.5625
generate_learning_sets_for_a_specific_user,0.234375
generate_learning_sets,0.234375
buildfromscratch,0.828125
get_training_data,7.90625
start_training,73.734375
quality_check_wrapper,37.25
generate_learning_sets_for_a_specific_user,0.21875
generate_learning_sets,0.21875
buildfromscratch,0.78125
get_training_data,7.5625
start_training,71.8125
get_training_data,8.34375
start_training,71.84375
quality_check_wrapper,37.59375
generate_learning_sets_for_a_specific_user,0.21875
generate_learning_sets,0.21875
buildfromscratch,0.84375
get_training_data,7.34375
start_training,69.140625
quality_check_wrapper,35.46875
generate_learning_sets_for_a_specific_user,0.25
generate_learning_sets,0.25
buildfromscratch,1.0
get_training_data,7.328125
start_training,69.265625
quality_check_wrapper,35.4375
generate_learning_sets_for_a_specific_user,0.234375
generate_learning_sets,0.234375
buildfromscratch,0.8125
get_training_data,8.328125
start_training,73.5625
quality_check_wrapper,36.34375
generate_learning_sets_for_a_specific_user,0.234375
generate_learning_sets,0.234375
buildfromscratch,0.828125
get_training_data,7.71875
start_training,72.5
quality_check_wrapper,39.78125
generate_learning_sets_for_a_specific_user,0.125
generate_learning_sets,0.125
buildfromscratch,0.796875
get_training_data,7.71875
start_training,71.453125
quality_check_wrapper,35.40625
generate_learning_sets_for_a_specific_user,0.140625
generate_learning_sets,0.140625
buildfromscratch,0.765625
get_training_data,7.8125
start_training,69.90625
quality_check_wrapper,35.578125
generate_learning_sets_for_a_specific_user,0.25
generate_learning_sets,0.25
buildfromscratch,0.859375
get_training_data,7.453125
start_training,76.890625
quality_check_wrapper,36.984375
generate_learning_sets_for_a_specific_user,0.125
generate_learning_sets,0.125
buildfromscratch,0.8125
get_training_data,8.015625
get_training_data,7.40625
start_training,71.4375
quality_check_wrapper,35.734375
generate_learning_sets_for_a_specific_user,0.21875
generate_learning_sets,0.21875
buildfromscratch,0.78125
get_training_data,7.375
get_training_data,11.28125
start_training,89.359375
quality_check_wrapper,50.09375
generate_learning_sets_for_a_specific_user,0.453125
generate_learning_sets,0.453125
buildfromscratch,0.96875
get_training_data,11.859375
get_training_data,8.484375
start_training,69.390625
quality_check_wrapper,37.09375
generate_learning_sets_for_a_specific_user,0.234375
generate_learning_sets,0.234375
buildfromscratch,0.828125
get_training_data,7.8125
start_training,70.265625
quality_check_wrapper,33.71875
generate_learning_sets_for_a_specific_user,0.21875
generate_learning_sets,0.234375
buildfromscratch,0.765625
